,,Transfer rate Eta,,,,
,,0,0.1,0.2,0.3,0.4
#MGEs/#Species,1,0.106,0.192,0.188,0.198,0.19
,2,0.106,0.348,0.346,0.454,0.388
,3,0.094,0.564,0.794,0.856,0.886
