,,Transfer rate Eta,,,,
,,0,0.1,0.2,0.3,0.4
#MGEs/#Species,1,0,0.018,0.018,0.028,0.014
,2,0.006,0.1,0.114,0.134,0.13
,3,0.002,0.314,0.532,0.67,0.756
