,,Transfer rate Eta,,,,
,,0,0.1,0.2,0.3,0.4
#MGEs/#Species,1,0.387,0.4815,0.4915,0.5005,0.522
,2,0.4165,0.6255,0.693,0.726,0.7405
,3,0.3925,0.749,0.908,0.9375,0.9585
