,,Transfer rate,,,,,
,,0,0.1,0.2,0.3,0.4,0.5
Competition Strength,0.8,0.5775,0.7835,0.8395,0.8655,0.88,0.8905
,0.9,0.4035,0.6845,0.798,0.8455,0.869,0.881
,0.99,0.232,0.5605,0.7235,0.8175,0.851,0.871
