,,Transfer rate,,,,,
,,0,0.1,0.2,0.3,0.4,0.5
Competition strength,0.8,0.439,0.5445,0.562,0.5815,0.5985,0.6075
,0.9,0.3765,0.511,0.5395,0.5625,0.579,0.5955
,0.99,0.2885,0.464,0.508,0.5335,0.5545,0.5705
