,,Eta_c,
,,0,10^(-13)
Nm,10^4,0.21,0.3
,10^5,0.21,0.304
,10^6,0.21,0.308
,10^7,0.21,0.316
,10^8,0.21,0.324
,10^9,0.21,0.332
,10^10,0.21,0.352
,10^11,0.21,0.358
,10^12,0.21,0.394
,10^13,0.21,0.604
