,0
0,3.338135267381176
1,1.2388649802768086
2,1.1534814158705897
3,2.6902559991662205
4,3.0695740979811608
5,1.7206329181264919
6,4.323343145894938
7,2.0778301084050663
8,3.022804174981248
9,1.662563491447927
10,1.197017072063445
11,3.4666988884776684
12,4.435428964025101
13,2.2148668127108673
14,2.2044275679455616
15,3.3527896935546577
16,3.484563770166054
17,1.3883665848558402
18,1.4311029387981162
19,2.9270462700138293
20,3.522352891600632
21,3.5374377871810103
22,2.8771608786944083
23,1.3052090647233292
24,1.3978995088562023
25,1.2698400911379204
26,4.257306497897982
27,5.717066087329638
28,2.7458514756006105
29,2.7962526019854423
30,1.9074179128994082
31,4.099522086548003
32,4.225342163298152
33,2.5681059229729337
34,3.1809571342383034
35,2.0935935261530965
36,2.629538426621279
37,4.715215189814111
38,1.3067713263338057
39,2.3625712263131096
40,2.282231216431791
41,3.6412665973900187
42,2.506671265414485
43,2.7608930971522714
44,4.085160311379609
45,2.514667896723445
46,3.791459151668979
47,3.512971302466802
48,1.9999159611655593
49,2.417833090754488
50,2.958755844394344
51,2.613499832744698
52,3.038454311534413
53,4.524550210843394
54,2.7347014924028343
55,2.7645551896535188
56,2.533450405343183
57,2.3734607963329544
58,3.2237517981950985
59,3.502803883819096
60,2.238011086773027
61,3.2091425797043507
62,2.45627756017958
63,3.0879685208738397
64,4.780338798394898
65,2.5109363751864957
66,1.8572610139477452
67,2.422578002557117
68,3.229537311328657
69,2.024429856999343
70,4.000396762956087
71,3.7807959839631757
72,2.7847791106886115
73,2.407677809293955
74,2.368340836371021
75,2.1089779495972274
76,3.1058006957108892
77,1.956026289355414
78,3.3367770375942847
79,2.2917165086200013
80,3.0891803278003693
81,5.180430706243942
82,3.0256379565894576
83,3.444618594137979
84,3.6417604400826105
85,1.9280800101707487
86,2.464790944298074
87,3.480758526220945
88,3.4002567044738483
89,2.075950539944987
90,4.575383964297173
91,3.720121012035293
92,2.993868097749832
93,2.208828275214298
94,2.7950309659474684
95,4.183560073042135
96,2.8249802327663076
97,4.122474570151689
98,2.573885074078618
99,1.6818405488051773
100,4.800222511212874
101,2.0847589170767775
102,3.792311689623368
103,3.2124720939175995
104,4.397232331748859
105,3.6051099481918203
106,3.5387051452191938
107,2.537669505529947
108,2.27926394220938
109,1.6766981302442223
110,4.3414129159372195
111,3.0619207347493447
112,1.4851502630821678
113,4.003019453639174
114,2.2539733363488033
115,2.004972609332082
116,3.6605891751581483
117,2.8614535275566895
118,1.7952285230628884
119,2.716305383862174
120,2.537502394823277
121,2.010774610599458
122,2.7867620271241544
123,3.0925449342192457
124,3.8034856522539493
125,1.8756564217181246
126,2.4339955618228797
127,3.002908681484559
128,2.7672053238685677
129,2.925416816490257
130,3.0631734418954584
131,2.0375500515117433
132,1.6635366990182094
133,2.996506667392101
134,2.1540890507270687
135,2.6104554464094427
136,1.8237898884550163
137,2.448444034057709
138,3.006016157341222
139,2.8748660485648583
140,2.9307915083630256
141,1.80472774552705
142,2.2290610846779044
143,2.2971944111474243
144,3.1800028417141055
145,4.512588056461765
146,3.436775446716366
147,4.6115541574327255
148,3.391292679667334
149,4.141645307299168
150,3.5377885068591293
151,1.7380328362108988
152,2.8317380234701477
153,2.689159249962883
154,1.93654351285793
155,3.1931309482227954
156,1.4188710630422192
157,1.4607524685950137
158,2.2998746225348836
159,2.6174041623351565
160,3.2378040828403183
161,2.7265556014195687
162,1.4195844607213859
163,3.064292439297006
164,3.466327962664023
165,3.400866722366244
166,2.7218611945191764
167,2.1551174647415183
168,2.210247797000629
169,1.8980942198507615
170,2.8950904711760934
171,2.000717224082612
172,2.3791928391680663
173,1.032883061651472
174,2.113824826414974
175,4.596072245849532
176,2.92535173974318
177,2.084790815846624
178,2.0624225078928005
179,3.6554787893848077
180,4.953005911393841
181,1.600158462764366
182,2.615975684790281
183,3.5417696729898034
184,3.1409189066106875
185,3.423808654224949
186,1.666358547945476
187,3.0666894246782435
188,2.5933791056987685
189,4.00772093274994
190,2.985676859113744
191,3.622176883848774
192,2.7983491410636305
193,4.322664588807939
194,4.43644872021348
195,2.375932273808681
196,3.9794031858981014
197,2.6490059564288218
198,2.331043437195912
199,2.365011048113054
200,1.8937286825079842
201,3.1017580442476698
202,2.7448665878310035
203,3.93334229109315
204,4.303343503506974
205,3.04012119156653
206,4.987344795901047
207,3.9323345158557585
208,1.4332235375161513
209,2.8905269048131434
210,1.6453424861655281
211,2.678713026985076
212,3.0944257508278104
213,2.256678131253513
214,1.7490870627209882
215,1.7155341879980848
216,2.392457385245829
217,2.5959631003581367
218,3.552928506289746
219,2.2343785169162063
220,2.5557868640727675
221,2.0989115719093867
222,2.109834611536492
223,2.325295473611828
224,1.8380873104158246
225,2.3869532655034713
226,3.2065075077465046
227,2.1000214781679283
228,1.9981480870879709
229,1.1750108748604982
230,3.005138434525235
231,1.9110401228310452
232,1.870761309890176
233,2.536122055952168
234,3.9259214260443898
235,2.491977713366839
236,2.614239038195433
237,1.8113464864316267
238,1.9326564292388946
239,5.646180730174233
240,3.3231378007279453
241,1.9459201690593833
242,2.0837355177334427
243,4.95531525659283
244,2.12236183004982
245,2.546473306150312
246,3.1912354075538114
247,2.6297632687701893
248,2.6860918891176797
249,3.712424039646071
250,3.184169719930826
251,2.438945335047229
252,2.1520678938174647
253,2.1965265563175715
254,1.928541950451345
255,2.516501520122666
256,2.8319790952862083
257,6.044140674120337
258,4.204224123855459
259,3.358663084828624
260,3.1954123093935447
261,5.386998962848689
262,2.4488582381498922
263,2.1469215281952727
264,2.046931664360576
265,1.9590113362176214
266,3.5356341683342922
267,1.9602431810386085
268,3.7104925848979584
269,2.7199213117904266
270,3.873673871919482
271,3.5456230688992054
272,2.8192438308318497
273,2.40268568618805
274,2.418023666852247
275,2.4388122455108654
276,1.6282602409682145
277,3.289354548923028
278,2.9971990965971114
279,3.5015403779547665
280,2.313247849285455
281,4.099327396750704
282,2.0925117919880623
283,1.9517882622644895
284,3.01210196848457
285,7.371389939668606
286,3.5127896292132226
287,2.8093973449020972
288,4.932368446969902
289,1.0155619113039667
290,3.508829010583866
291,2.833325604268742
292,2.791038109191379
293,3.0796514510556086
294,2.509351057261061
295,4.140682546168351
296,3.292572931573146
297,3.2237422671829545
298,2.523446685610874
299,2.7613788802954926
300,2.6341806552684703
301,3.565757801203932
302,2.1611585311401815
303,2.2626263454176936
304,2.2631336434122056
305,3.6488742358497994
306,1.651442622971271
307,2.8796638911577346
308,2.7681438949739277
309,2.8237858938331484
310,3.0670670848608865
311,3.4969285742198566
312,1.0352181966670957
313,2.8704980183763587
314,2.210879170488174
315,2.470814769040395
316,2.618663129550415
317,3.0050647655332385
318,2.1898134108505083
319,1.877028613786443
320,1.7897642597394516
321,2.707293118440747
322,4.718447753405008
323,2.4968917789138128
324,2.82166667617755
325,2.585987242573672
326,1.7964901623825318
327,3.257839564686095
328,2.7173868917268713
329,3.262086061521745
330,3.766226788706232
331,1.7567652678564054
332,2.016335321034531
333,3.618882133287918
334,2.435369505999949
335,2.1389912898413876
336,2.0263312191664937
337,4.157468379644117
338,3.6473511453301346
339,2.1095896649737758
340,3.184514854511783
341,1.7996646217903425
342,3.4446102592144836
343,1.1253268868826007
344,1.470616520112945
345,2.826601644479489
346,2.2197239095045385
347,2.074218390792596
348,2.958677420752525
349,3.0965438979839797
350,3.356266473182997
351,1.9474705964119188
352,4.839990801177419
353,3.3351972613118743
354,1.8418059546063494
355,1.1289969928960646
356,1.8100574680987678
357,2.215507524193295
358,2.3301511359057847
359,1.537122390406847
360,3.4497736106699737
361,3.064407785178182
362,2.7175551990624136
363,2.2622026151159083
364,1.458824339182163
365,3.420345350256604
366,3.3716298964714113
367,3.386068146350001
368,1.0348223536108134
369,3.4869454790985768
370,2.0136499131696346
371,2.7810997006327365
372,3.0708911737238753
373,1.8960308733787832
374,1.7039919474869911
375,2.566160758414391
376,2.3032634578596056
377,1.2097240119077637
378,1.9646912929153408
379,1.1188834476442844
380,2.7466031011286147
381,3.3090003652490405
382,2.1859098751562223
383,3.07192319696888
384,3.943952515572879
385,3.2952319572060436
386,2.7107382333839687
387,1.6770015041088449
388,3.885549274504541
389,1.7782100029900174
390,1.4708521399454333
391,4.433508139598782
392,2.3128385508226303
393,4.937745754521814
394,3.744276262311773
395,5.671471855072877
396,3.0141583334784876
397,1.4674930350765407
398,3.9299703088525737
399,2.8476930699617626
400,2.790325286308461
401,3.3061130941753154
402,1.7905799645897118
403,2.9500405480016467
404,1.7045640625872298
405,4.15394650791504
406,2.0812065986997896
407,1.9655424530450942
408,2.4360909604995205
409,4.191083254924668
410,1.9719690672338586
411,1.6202798306293384
412,1.8188923679753626
413,1.8357321183795097
414,2.1681165110734004
415,4.819909705386674
416,1.2700992144891348
417,2.4174751940866637
418,2.8336065967735307
419,2.1335646433698803
420,1.9209393772927603
421,1.9639262664267674
422,4.185681297596992
423,3.8115397401997178
424,2.1883477320032885
425,2.366433501426247
426,2.7860317879931604
427,3.3861051870904624
428,5.398122664614964
429,1.7664769342277282
430,3.2420975825458616
431,4.2425851585793595
432,2.9667502171717737
433,3.1719655685698505
434,2.4176566198831555
435,4.532841769014622
436,2.6840579661044734
437,2.5965237505148293
438,2.1607202057677855
439,2.4765656979707265
440,1.7072359370144903
441,3.027785650899625
442,4.527228280610753
443,1.774643167278574
444,1.8513962428505686
445,2.876353194494315
446,3.3205040814521354
447,2.943826632093022
448,4.039421740365292
449,1.4676748328169145
450,3.0525899274017787
451,1.7334507280333937
452,1.2163192807155772
453,1.7484232043271726
454,3.3689667139762793
455,1.7911881024466945
456,4.353866653840975
457,2.066332081202309
458,1.9860533364958417
459,1.9419641717576834
460,1.1745219033225873
461,2.2813012837177817
462,3.9199355697488003
463,2.0627216931467283
464,1.7406674047793427
465,2.914546246132662
466,2.394933121685214
467,2.335960674298597
468,2.964405505130656
469,2.1796499599219996
470,2.415021543881895
471,2.6677886396707198
472,2.2934935025565966
473,2.439777820780025
474,4.407012576239417
475,1.993095371675411
476,1.7425429263223937
477,2.704293522107399
478,2.5960693783182234
479,3.2782599141549045
480,1.3767434332181583
481,2.7638045553718853
482,3.0862991576553425
483,3.425840669426988
484,2.79853710784822
485,2.3145161049340657
486,1.834376029323517
487,1.9224954126382088
488,1.0696066150428007
489,1.8401859912259146
490,1.9740998140469477
491,2.0039011105244864
492,4.446866027084256
493,4.544514154389892
494,3.0133093988524435
495,2.540148569810718
496,2.067270633478336
497,2.4071015777601334
498,1.2924233448992486
499,1.1450870886700795
500,2.4751668874327115
501,3.5373017240131692
502,2.191364841992784
503,2.7165852853831347
504,2.1812696278529526
505,3.1687943246403347
506,2.813604383169393
507,3.4446748093463353
508,2.095494920514764
509,4.77269770809086
510,2.3297625922015484
511,1.8278830222132192
512,4.7508180118914405
513,2.844396851128335
514,2.313374347283068
515,2.8863075520473975
516,3.223371148516439
517,1.5240865866653457
518,3.681629735457517
519,5.476435084610406
520,3.202321505114501
521,2.1390120284607677
522,3.1035360605092603
523,1.726594717426723
524,3.415830563038331
525,2.0840878358454877
526,1.5448778639652467
527,2.0129646838060498
528,3.2483913368830053
529,2.0521833007359547
530,3.2630363622456353
