,,Transfer rate Eta,,,,,
,,0,0.1,0.2,0.3,0.4,0.5
Epistasis,-0.2,0.12,0.094,0.091,0.091,0.091,0.091
,-0.5,0.12,0.062,0.0675,0.066,0.0655,0.0655
,-0.8,0.12,0.0345,0.0355,0.0375,0.0375,0.039
,-1,0.12,0.03,0.028,0.03,0.0305,0.0315
