,0,1,2,3,4,5
0,1e-10,6.309573444801942e-10,3.981071705534969e-09,2.511886431509577e-08,1.584893192461111e-07,9.99999999999998e-07
1,1e-12,6.309573444801943e-12,3.9810717055349695e-11,2.5118864315095717e-10,1.584893192461111e-09,1e-08
2,1e-14,6.309573444801943e-14,3.981071705534969e-13,2.511886431509572e-12,1.5848931924611107e-11,1e-10
3,1e-16,6.309573444801943e-16,3.9810717055349695e-15,2.511886431509572e-14,1.584893192461111e-13,1e-12
