,,Transfer rate Eta,,,,,
,,0,0.1,0.2,0.3,0.4,0.5
Epistasis,0.5,0.103,0.158,0.174,0.185,0.193,0.1955
,0.8,0.103,0.344,0.3945,0.4235,0.4465,0.463
,1,0.103,0.3695,0.429,0.4775,0.5095,0.536
,1.2,0.103,0.377,0.437,0.482,0.515,0.543
