,,Transfer rate Eta,,,,,
,,0,0.1,0.2,0.3,0.4,0.5
Epistasis,0.5,0.1205,0.216,0.227,0.229,0.231,0.2315
,0.8,0.1205,0.314,0.341,0.357,0.368,0.377
,1,0.1205,0.369,0.447,0.497,0.5245,0.5455
,1.2,0.1205,0.3875,0.459,0.503,0.478,0.465
