,,Transfer rate Eta,,,,
,,0,0.05,0.1,0.15,0.2
delta,0,0.4605,0.45,0.479,0.4545,0.4745
,0.2,0.444,0.3715,0.3445,0.3565,0.3455
,0.4,0.4725,0.1985,0.1285,0.139,0.1255
