,,Transfer rate Eta,,,,
,,0,0.05,0.1,0.15,0.2
delta,0,0.026,0.031,0.028,0.034,0.0315
,0.2,0.0255,0.0075,0.005,0.0075,0.0045
,0.4,0.025,0.001,0,0.0005,0
