,,Transfer rate Eta,,,,
,,0,0.05,0.1,0.15,0.2
delta,0,0.0865,0.0885,0.0785,0.085,0.076
,0.2,0.0805,0.031,0.0315,0.0285,0.024
,0.4,0.085,0.0075,0.0035,0,0.0015
