,,Transfer rate Eta,,,,
,,0,0.05,0.1,0.15,0.2
delta,0,0.2265,0.2175,0.2165,0.2315,0.2145
,0.2,0.206,0.122,0.1185,0.105,0.1035
,0.4,0.2195,0.036,0.017,0.0095,0.0165
