,,Transfer rate Eta,,,,,,,
,,10^(-14),10^(-12),10^(-10),10^(-8),10^(-6),10^(-4),10^(-2),10^0
MGE fitness,50% beneficial,0.486,0.486,0.486,0.486,0.498,0.532,0.622,1
,75% beneficial,0.486,0.488,0.506,0.544,0.614,0.714,0.85,1
,100% beneficial,0.572,0.638,0.716,0.818,0.914,0.994,1,1
